period,Return,corp_code,Ex_Return,Next_Ex_Return
2020Q2,0.1981566820276497,00101220,0.18940668202764968,0.5374038461538462
2020Q3,0.5461538461538462,00101220,0.5374038461538462,0.17781716417910445
2020Q4,0.18656716417910446,00101220,0.17781716417910445,0.12332547169811317
2021Q1,0.13207547169811318,00101220,0.12332547169811317,0.4393981481481482
2021Q2,0.4481481481481482,00101220,0.4393981481481482,-0.12639705882352945
2021Q3,-0.11764705882352944,00101220,-0.12639705882352945,-0.11744565217391309
2021Q4,-0.10869565217391308,00101220,-0.11744565217391309,0.007510162601626104
2022Q1,0.016260162601626105,00101220,0.007510162601626104,-0.13675
2022Q2,-0.128,00101220,-0.13675,-0.21975917431192657
2022Q3,-0.21100917431192656,00101220,-0.21975917431192657,-0.05293604651162794
2022Q4,-0.04418604651162794,00101220,-0.05293604651162794,0.9523205596107056
2023Q1,0.9610705596107056,00101220,0.9523205596107056,0.06569168734491318
2023Q2,0.07444168734491319,00101220,0.06569168734491318,-0.18311489607390305
2023Q3,-0.17436489607390304,00101220,-0.18311489607390305,-0.05070804195804198
2023Q4,-0.04195804195804198,00101220,-0.05070804195804198,-0.14743613138686137
2024Q1,-0.13868613138686137,00101220,-0.14743613138686137,-0.17993644067796608
2024Q2,-0.17118644067796607,00101220,-0.17993644067796608,-0.13042689161554197
2024Q3,-0.12167689161554196,00101220,-0.13042689161554197,-0.14029831199068685
2024Q4,-0.13154831199068684,00101220,-0.14029831199068685,-0.043602546916890104
2025Q1,-0.034852546916890104,00101220,-0.043602546916890104,0.2704166666666666
2025Q2,0.27916666666666656,00101220,0.2704166666666666,0.03250950054288818
2025Q3,0.04125950054288818,00101220,0.03250950054288818,0.08822601668404587
2025Q4,0.09697601668404587,00101220,0.08822601668404587,-0.06198193916349811
2026Q1,-0.05323193916349811,00101220,-0.06198193916349811,-0.035858433734939764
2020Q2,0.11111111111111116,00102353,0.10236111111111115,1.24125
2020Q3,1.25,00102353,1.24125,0.4157514245014245
2020Q4,0.4245014245014245,00102353,0.4157514245014245,0.1332499999999999
2021Q1,0.1419999999999999,00102353,0.1332499999999999,0.019271015761821254
2021Q2,0.028021015761821255,00102353,0.019271015761821254,0.23486158432708695
2021Q3,0.24361158432708696,00102353,0.23486158432708695,-0.056695205479452025
2021Q4,-0.047945205479452024,00102353,-0.056695205479452025,-0.14112410071942447
2022Q1,-0.13237410071942446,00102353,-0.14112410071942447,-0.17127072968490883
2022Q2,-0.16252072968490883,00102353,-0.17127072968490883,-0.2681559405940594
2022Q3,-0.2594059405940594,00102353,-0.2681559405940594,0.0580949197860963
2022Q4,0.0668449197860963,00102353,0.0580949197860963,0.00879385964912286
2023Q1,0.01754385964912286,00102353,0.00879385964912286,0.8114470443349753
2023Q2,0.8201970443349753,00102353,0.8114470443349753,-0.3186282138024357
2023Q3,-0.30987821380243574,00102353,-0.3186282138024357,-0.06953431372549021
2023Q4,-0.0607843137254902,00102353,-0.06953431372549021,-0.07555584551148228
2024Q1,-0.06680584551148228,00102353,-0.07555584551148228,0.10534395973154356
2024Q2,0.11409395973154357,00102353,0.10534395973154356,-0.06899096385542167
2024Q3,-0.06024096385542166,00102353,-0.06899096385542167,-0.18695512820512825
2024Q4,-0.17820512820512824,00102353,-0.18695512820512825,-0.07583268330733225
2025Q1,-0.06708268330733225,00102353,-0.07583268330733225,-0.08065635451505013
2025Q2,-0.07190635451505012,00102353,-0.08065635451505013,-0.10724849849849846
2025Q3,-0.09849849849849845,00102353,-0.10724849849849846,-0.012081112591605568
2025Q4,-0.0033311125916055673,00102353,-0.012081112591605568,0.3348328877005347
2026Q1,0.3435828877005347,00102353,0.3348328877005347,-0.0669589552238806
2020Q2,0.22230710466004577,00102618,0.21355710466004577,0.1624999999999999
2020Q3,0.1712499999999999,00102618,0.1624999999999999,0.3781229989327642
2020Q4,0.38687299893276417,00102618,0.3781229989327642,-0.007595709888418699
2021Q1,0.001154290111581302,00102618,-0.007595709888418699,0.17956667947732521
2021Q2,0.18831667947732522,00102618,0.17956667947732521,-0.11288971539456669
2021Q3,-0.10413971539456668,00102618,-0.11288971539456669,-0.1213853790613719
2021Q4,-0.11263537906137189,00102618,-0.1213853790613719,-0.13120728234336862
2022Q1,-0.12245728234336861,00102618,-0.13120728234336862,-0.00875
2022Q2,0.0,00102618,-0.00875,-0.23452654149281413
2022Q3,-0.22577654149281412,00102618,-0.23452654149281413,0.32897455089820365
2022Q4,0.33772455089820363,00102618,0.32897455089820365,-0.032921888988361646
2023Q1,-0.024171888988361645,00102618,-0.032921888988361646,-0.004162844036697165
2023Q2,0.004587155963302836,00102618,-0.004162844036697165,-0.07496004566210043
2023Q3,-0.06621004566210043,00102618,-0.07496004566210043,-0.10165953545232273
2023Q4,-0.09290953545232272,00102618,-0.10165953545232273,-0.07559636118598387
2024Q1,-0.06684636118598386,00102618,-0.07559636118598387,-0.0018175909878683436
2024Q2,0.006932409012131657,00102618,-0.0018175909878683436,-0.11775745840504878
2024Q3,-0.10900745840504877,00102618,-0.11775745840504878,-0.025491790083708908
2024Q4,-0.016741790083708907,00102618,-0.025491790083708908,-0.0788220366732155
2025Q1,-0.07007203667321549,00102618,-0.0788220366732155,0.01589788732394374
2025Q2,0.02464788732394374,00102618,0.01589788732394374,-0.02730670103092788
2025Q3,-0.01855670103092788,00102618,-0.02730670103092788,3.634107142857143
2025Q4,3.6428571428571432,00102618,3.634107142857143,-0.1746625188536953
2026Q1,-0.1659125188536953,00102618,-0.1746625188536953,0.4143964737793851
2020Q2,0.5077399380804954,00103510,0.49898993808049547,0.9255415811088294
2020Q3,0.9342915811088295,00103510,0.9255415811088294,0.5782988322717622
2020Q4,0.5870488322717622,00103510,0.5782988322717622,-0.038850334448160516
2021Q1,-0.030100334448160515,00103510,-0.038850334448160516,0.24987068965517237
2021Q2,0.2586206896551724,00103510,0.24987068965517237,-0.19779109589041097
2021Q3,-0.18904109589041096,00103510,-0.19779109589041097,0.02503378378378377
2021Q4,0.03378378378378377,00103510,0.02503378378378377,-0.21463235294117652
2022Q1,-0.20588235294117652,00103510,-0.21463235294117652,-0.40875
2022Q2,-0.4,00103510,-0.40875,0.09138717421124823
2022Q3,0.10013717421124824,00103510,0.09138717421124823,-0.13717892768079806
2022Q4,-0.12842892768079806,00103510,-0.13717892768079806,0.24017703862660936
2023Q1,0.24892703862660936,00103510,0.24017703862660936,0.06112399770904923
2023Q2,0.06987399770904923,00103510,0.06112399770904923,-0.03551659528907921
2023Q3,-0.02676659528907921,00103510,-0.03551659528907921,-0.1176608910891089
2023Q4,-0.1089108910891089,00103510,-0.1176608910891089,-0.04578703703703709
2024Q1,-0.03703703703703709,00103510,-0.04578703703703709,-0.11900641025641032
2024Q2,-0.11025641025641031,00103510,-0.11900641025641032,-0.1225828530259366
2024Q3,-0.1138328530259366,00103510,-0.1225828530259366,-0.08517276422764228
2024Q4,-0.07642276422764227,00103510,-0.08517276422764228,-0.024595070422535247
2025Q1,-0.015845070422535246,00103510,-0.024595070422535247,0.07711762075134157
2025Q2,0.08586762075134158,00103510,0.07711762075134157,-0.0746478583196046
2025Q3,-0.0658978583196046,00103510,-0.0746478583196046,0.12176146384479727
2025Q4,0.13051146384479728,00103510,0.12176146384479727,0.013090873634945356
2026Q1,0.021840873634945357,00103510,0.013090873634945356,0.001937022900763398
2020Q2,0.3350739773716276,00105606,0.3263239773716276,1.325017926988266
2020Q3,1.333767926988266,00105606,1.325017926988266,-0.2713198324022346
2020Q4,-0.26256983240223464,00105606,-0.2713198324022346,-0.1602651515151515
2021Q1,-0.1515151515151515,00105606,-0.1602651515151515,0.013571428571428602
2021Q2,0.022321428571428603,00105606,0.013571428571428602,0.039284934497816594
2021Q3,0.048034934497816595,00105606,0.039284934497816594,-0.12750000000000003
2021Q4,-0.11875000000000002,00105606,-0.12750000000000003,-0.18132683215130027
2022Q1,-0.17257683215130026,00105606,-0.18132683215130027,-0.20874999999999996
2022Q2,-0.19999999999999996,00105606,-0.20874999999999996,-0.23732142857142854
2022Q3,-0.22857142857142854,00105606,-0.23732142857142854,-0.18282407407407406
2022Q4,-0.17407407407407405,00105606,-0.18282407407407406,-0.07040919282511213
2023Q1,-0.06165919282511212,00105606,-0.07040919282511213,-0.052955495818399055
2023Q2,-0.044205495818399054,00105606,-0.052955495818399055,-0.12625000000000006
2023Q3,-0.11750000000000005,00105606,-0.12625000000000006,-0.10223441926345608
2023Q4,-0.09348441926345608,00105606,-0.10223441926345608,-0.013437499999999956
2024Q1,-0.004687499999999956,00105606,-0.013437499999999956,-0.0982319466248038
2024Q2,-0.0894819466248038,00105606,-0.0982319466248038,0.013663793103448264
2024Q3,0.022413793103448265,00105606,0.013663793103448264,0.04352655986509272
2024Q4,0.05227655986509272,00105606,0.04352655986509272,-0.12894230769230772
