period,Return,corp_code,Ex_Return,Next_Ex_Return
2020Q2,0.15816326530612246,00111193,0.14941326530612245,-0.017560572687224628
2020Q3,-0.008810572687224627,00111193,-0.017560572687224628,0.3645833333333333
2020Q4,0.3733333333333333,00111193,0.3645833333333333,0.08186488673139161
2021Q1,0.09061488673139162,00111193,0.08186488673139161,0.11587908011869444
2021Q2,0.12462908011869445,00111193,0.11587908011869444,-0.11165237467018471
2021Q3,-0.1029023746701847,00111193,-0.11165237467018471,-0.12639705882352945
2021Q4,-0.11764705882352944,00111193,-0.12639705882352945,-0.02875000000000002
2022Q1,-0.020000000000000018,00111193,-0.02875000000000002,-0.1550085034013606
2022Q2,-0.1462585034013606,00111193,-0.1550085034013606,-0.0764790836653387
2022Q3,-0.0677290836653387,00111193,-0.0764790836653387,0.01689102564102555
2022Q4,0.02564102564102555,00111193,0.01689102564102555,-0.11458333333333334
2023Q1,-0.10583333333333333,00111193,-0.11458333333333334,0.20280638397017706
2023Q2,0.21155638397017706,00111193,0.20280638397017706,-0.16259615384615386
2023Q3,-0.15384615384615385,00111193,-0.16259615384615386,0.05670454545454543
2023Q4,0.06545454545454543,00111193,0.05670454545454543,0.0868131399317407
2024Q1,0.0955631399317407,00111193,0.0868131399317407,0.06991043613707174
2024Q2,0.07866043613707174,00111193,0.06991043613707174,-0.13799187725631765
2024Q3,-0.12924187725631764,00111193,-0.13799187725631765,0.05675580431177444
2024Q4,0.06550580431177444,00111193,0.05675580431177444,0.22237840466926076
2025Q1,0.23112840466926077,00111193,0.22237840466926076,0.49883533501896343
2025Q2,0.5075853350189634,00111193,0.49883533501896343,0.21137578616352196
2025Q3,0.22012578616352196,00111193,0.21137578616352196,-0.056859965635738884
2025Q4,-0.04810996563573888,00111193,-0.056859965635738884,-0.1242734657039711
2026Q1,-0.1155234657039711,00111193,-0.1242734657039711,-0.11691326530612242
2020Q2,1.0111306385471588,00111704,1.0023806385471588,-0.1288864903666098
2020Q3,-0.12013649036660978,00111704,-0.1288864903666098,0.14249858115777528
2020Q4,0.15124858115777529,00111704,0.14249858115777528,0.024115006983813893
2021Q1,0.032865006983813894,00111704,0.024115006983813893,0.2562647164107868
2021Q2,0.2650147164107868,00111704,0.2562647164107868,-0.2573587093224336
2021Q3,-0.24860870932243362,00111704,-0.2573587093224336,-0.1518582098920412
2021Q4,-0.1431082098920412,00111704,-0.1518582098920412,0.06713631702314674
2022Q1,0.07588631702314674,00111704,0.06713631702314674,-0.040975853304284625
2022Q2,-0.032225853304284624,00111704,-0.040975853304284625,-0.21918992120814182
2022Q3,-0.2104399212081418,00111704,-0.21918992120814182,-0.00875
2022Q4,0.0,00111704,-0.00875,0.284151692901693
2023Q1,0.292901692901693,00111704,0.284151692901693,0.5300260727740513
2023Q2,0.5387760727740514,00111704,0.5300260727740513,-0.08467631296091724
2023Q3,-0.07592631296091723,00111704,-0.08467631296091724,-0.19776453957996773
2023Q4,-0.18901453957996772,00111704,-0.19776453957996773,0.09085159362549791
2024Q1,0.09960159362549792,00111704,0.09085159362549791,0.0981340579710144
2024Q2,0.10688405797101441,00111704,0.0981340579710144,-0.00875
2024Q3,0.0,00111704,-0.00875,0.21383592471358417
2024Q4,0.22258592471358418,00111704,0.21383592471358417,0.7877694109772422
2025Q1,0.7965194109772422,00111704,0.7877694109772422,0.17455849478390453
2025Q2,0.18330849478390454,00111704,0.17455849478390453,0.38041876574307315
2025Q3,0.38916876574307313,00111704,0.38041876574307315,0.021168404351767957
2025Q4,0.029918404351767958,00111704,0.021168404351767957,0.04934859154929575
2026Q1,0.05809859154929575,00111704,0.04934859154929575,0.024527870216306126
2020Q2,0.5256723716381417,00126478,0.5169223716381417,-0.11291666666666664
2020Q3,-0.10416666666666663,00126478,-0.11291666666666664,0.31206097197376265
2020Q4,0.3208109719737626,00126478,0.31206097197376265,0.09493698269375475
2021Q1,0.10368698269375476,00126478,0.09493698269375475,-0.1452375920370875
2021Q2,-0.1364875920370875,00126478,-0.1452375920370875,-0.029751105321332703
2021Q3,-0.021001105321332703,00126478,-0.029751105321332703,-0.09423387096774191
2021Q4,-0.0854838709677419,00126478,-0.09423387096774191,-0.0069863315696649594
2022Q1,0.0017636684303350414,00126478,-0.0069863315696649594,0.05991197183098599
2022Q2,0.06866197183098599,00126478,0.05991197183098599,-0.13395593080724874
2022Q3,-0.12520593080724873,00126478,-0.13395593080724874,-0.04641478342749524
2022Q4,-0.03766478342749524,00126478,-0.04641478342749524,0.0029916829745597964
2023Q1,0.011741682974559797,00126478,0.0029916829745597964,0.2813853965183753
2023Q2,0.2901353965183753,00126478,0.2813853965183753,0.16666229385307355
2023Q3,0.17541229385307355,00126478,0.16666229385307355,-0.02022959183673475
2023Q4,-0.011479591836734748,00126478,-0.02022959183673475,0.09576612903225803
2024Q1,0.10451612903225804,00126478,0.09576612903225803,0.08353971962616827
2024Q2,0.09228971962616828,00126478,0.08353971962616827,0.06397727272727274
2024Q3,0.07272727272727275,00126478,0.06397727272727274,0.11787013958125628
2024Q4,0.12662013958125629,00126478,0.11787013958125628,0.18417035398230078
2025Q1,0.19292035398230079,00126478,0.18417035398230078,0.23457344213649847
2025Q2,0.24332344213649848,00126478,0.23457344213649847,0.2979325775656326
2025Q3,0.30668257756563255,00126478,0.2979325775656326,0.09170662100456631
2025Q4,0.10045662100456632,00126478,0.09170662100456631,0.005772821576763433
2026Q1,0.014522821576763434,00126478,0.005772821576763433,0.15280419222903888
2020Q2,0.06043956043956045,00137012,0.051689560439560446,-0.04761010362694303
2020Q3,-0.03886010362694303,00137012,-0.04761010362694303,0.6624090296495957
2020Q4,0.6711590296495957,00137012,0.6624090296495957,-0.2006854838709677
2021Q1,-0.1919354838709677,00137012,-0.2006854838709677,-0.00875
2021Q2,0.0,00137012,-0.00875,-0.00875
2021Q3,0.0,00137012,-0.00875,-0.00875
2021Q4,0.0,00137012,-0.00875,-0.00875
2022Q1,0.0,00137012,-0.00875,-0.00875
